production_id,production_time,shift,equipment_id,product_id,worker_id,production_qty
P000043,2026-08-23 16:53:00,주간,M04,PR04,W008,998
P000044,2026-08-19 23:04:00,야간,M01,PR05,W010,1318
P000045,2026-05-03 12:15:00,주간,M05,PR04,W009,1103
P000046,2026-12-06 17:51:00,주간,M05,PR05,W008,1205
P000047,2026-07-05 23:31:00,야간,M01,PR02,W008,1350
P000048,2026-11-23 14:11:00,주간,M02,PR02,W007,1296
P000049,2026-11-11 16:18:00,주간,M04,PR04,W009,1042
P000050,2026-07-20 05:04:00,야간,M04,PR05,W008,923
P000051,2026-04-14 23:11:00,야간,M01,PR04,W009,1472
P000052,2026-05-02 03:43:00,야간,M01,PR05,W002,1256
P000053,2026-06-14 11:20:00,주간,M03,PR05,W004,934
P000054,2026-11-05 11:53:00,주간,M02,PR04,W001,1250
P000055,2026-03-12 09:37:00,주간,M01,PR05,W007,1274
P000056,2026-02-26 22:17:00,야간,M02,PR03,W002,1085
P000057,2026-11-16 15:36:00,주간,M01,PR02,W002,1273
P000058,2026-02-18 00:49:00,야간,M05,PR04,W009,1017
P000059,2026-12-18 08:37:00,주간,M01,PR02,W003,1485
P000060,2026-07-19 10:26:00,주간,M01,PR01,W006,1203
P000061,2026-05-04 17:37:00,주간,M05,PR01,W004,1092
P000062,2026-11-11 17:38:00,주간,M05,PR03,W001,1109
P000063,2026-11-25 03:25:00,야간,M02,PR01,W002,1073
P000064,2026-10-07 17:25:00,주간,M04,PR03,W002,1083
P000065,2026-01-21 06:09:00,야간,M05,PR05,W010,1172
P000066,2026-07-10 20:48:00,야간,M01,PR05,W002,1360
P000067,2026-05-09 16:05:00,주간,M01,PR01,W004,1279
P000068,2026-10-20 17:09:00,주간,M04,PR01,W005,1047
P000069,2026-12-25 06:01:00,야간,M02,PR01,W010,1290
P000070,2026-09-10 23:44:00,야간,M02,PR03,W006,1014
P000071,2026-09-18 17:23:00,주간,M02,PR03,W008,1172
P000072,2026-06-11 23:44:00,야간,M03,PR04,W003,861
P000073,2026-12-27 23:18:00,야간,M03,PR01,W002,966
P000074,2026-05-26 12:10:00,주간,M03,PR05,W010,986
P000075,2026-12-29 03:51:00,야간,M02,PR03,W003,1029
P000076,2026-11-15 23:40:00,야간,M05,PR04,W007,1208
P000077,2026-06-29 23:19:00,야간,M02,PR03,W004,1185
P000078,2026-10-01 16:48:00,주간,M04,PR02,W008,1004
P000079,2026-01-24 14:50:00,주간,M04,PR01,W007,999
P000080,2026-12-11 22:47:00,야간,M02,PR01,W009,1225
P000081,2026-03-16 15:59:00,주간,M01,PR01,W009,1259
P000082,2026-01-31 08:57:00,주간,M05,PR03,W002,1032
P000083,2026-10-18 07:43:00,야간,M01,PR02,W010,1352
P000084,2026-12-23 10:55:00,주간,M03,PR02,W010,985
P000085,2026-01-10 09:07:00,주간,M01,PR01,W005,1420
P000086,2026-11-16 08:55:00,주간,M01,PR03,W007,1357
P000087,2026-11-30 18:18:00,주간,M02,PR05,W008,1243
P000088,2026-04-30 20:26:00,야간,M05,PR04,W001,1155
P000089,2026-12-17 09:56:00,주간,M04,PR01,W008,1026
P000090,2026-05-26 02:39:00,야간,M04,PR05,W005,1086
P000091,2026-11-03 15:15:00,주간,M02,PR04,W008,1257
P000092,2026-07-13 06:55:00,야간,M05,PR04,W010,1089
P000093,2026-05-04 20:29:00,야간,M01,PR02,W009,1344
P000094,2026-10-01 05:33:00,야간,M05,PR02,W006,1049
P000095,2026-12-14 05:36:00,야간,M05,PR03,W005,1288
P000096,2026-09-03 23:20:00,야간,M03,PR01,W010,976
P000097,2026-06-03 03:38:00,야간,M02,PR03,W002,1280
P000098,2026-06-23 17:01:00,주간,M04,PR04,W002,972
P000099,2026-10-06 13:24:00,주간,M05,PR05,W004,1098
P000100,2026-08-08 21:20:00,야간,M01,PR01,W001,1293
P000101,2026-11-03 11:21:00,주간,M03,PR01,W007,966
P000102,2026-01-17 18:44:00,주간,M01,PR05,W004,1481
P000103,2026-04-03 22:15:00,야간,M04,PR04,W006,1096
P000104,2026-09-24 07:28:00,야간,M03,PR03,W004,962
P000105,2026-02-03 19:17:00,주간,M01,PR02,W009,1236
P000106,2026-09-16 22:28:00,야간,M01,PR05,W002,1407
P000107,2026-03-17 13:42:00,주간,M03,PR03,W009,924
P000108,2026-12-24 21:33:00,야간,M05,PR05,W005,1089
P000109,2026-09-28 22:43:00,야간,M03,PR05,W002,857
P000110,2026-03-02 01:24:00,야간,M03,PR02,W006,941
P000111,2026-06-20 21:12:00,야간,M01,PR03,W003,1386
P000112,2026-05-21 08:11:00,주간,M04,PR02,W008,1028
P000113,2026-08-25 06:36:00,야간,M03,PR01,W010,991
P000114,2026-10-28 06:34:00,야간,M05,PR01,W003,1237
P000115,2026-07-16 03:54:00,야간,M04,PR04,W003,942
P000116,2026-03-18 02:25:00,야간,M05,PR03,W001,1250
P000117,2026-02-04 12:55:00,주간,M01,PR03,W003,1234
P000118,2026-10-19 14:40:00,주간,M03,PR03,W004,934
P000119,2026-08-20 08:58:00,주간,M02,PR03,W003,1243
P000120,2026-05-31 01:04:00,야간,M02,PR02,W006,1251
P000121,2026-09-23 05:34:00,야간,M01,PR04,W007,1230
P000122,2026-01-05 04:05:00,야간,M02,PR05,W001,1186
P000123,2026-02-14 02:25:00,야간,M04,PR05,W005,969
P000124,2026-04-29 11:58:00,주간,M01,PR02,W005,1207
P000125,2026-12-22 00:15:00,야간,M01,PR05,W001,1470
P000126,2026-12-14 09:17:00,주간,M03,PR04,W010,851
P000127,2026-06-18 04:54:00,야간,M01,PR02,W006,1231
P000128,2026-05-15 12:25:00,주간,M03,PR02,W008,924
P000129,2026-10-04 15:16:00,주간,M02,PR03,W001,1125
P000130,2026-09-28 00:53:00,야간,M04,PR03,W004,1073
P000131,2026-01-03 01:28:00,야간,M01,PR03,W009,1442
P000132,2026-12-25 12:02:00,주간,M04,PR01,W009,1087
P000133,2026-05-14 05:35:00,야간,M04,PR03,W010,1001
P000134,2026-01-25 01:47:00,야간,M01,PR04,W008,1261
P000135,2026-06-19 23:19:00,야간,M02,PR04,W001,1295
P000136,2026-04-04 14:49:00,주간,M03,PR04,W010,946
P000137,2026-06-17 07:03:00,야간,M04,PR02,W004,1093
P000138,2026-02-09 21:00:00,야간,M04,PR02,W007,988
P000139,2026-04-09 20:12:00,야간,M05,PR05,W001,1031
P000140,2026-08-28 07:27:00,야간,M05,PR01,W007,1090
P000141,2026-07-08 15:47:00,주간,M02,PR03,W008,1101
P000142,2026-06-11 20:20:00,야간,M03,PR02,W005,861
P000143,2026-04-10 23:07:00,야간,M03,PR03,W001,964
P000144,2026-06-27 22:49:00,야간,M01,PR03,W001,1424
P000145,2026-03-30 05:43:00,야간,M03,PR04,W004,912
P000146,2026-12-10 18:41:00,주간,M04,PR05,W009,973
P000147,2026-09-10 22:48:00,야간,M01,PR02,W003,1420
P000148,2026-06-14 12:01:00,주간,M01,PR03,W005,1332
P000149,2026-01-18 15:08:00,주간,M03,PR05,W006,863
P000150,2026-02-20 13:53:00,주간,M02,PR02,W005,1238
P000151,2026-05-19 21:13:00,야간,M05,PR04,W001,1124
P000152,2026-04-20 01:05:00,야간,M01,PR02,W005,1484
P000153,2026-08-30 19:15:00,주간,M04,PR03,W010,979
P000154,2026-06-14 21:30:00,야간,M03,PR04,W003,929
P000155,2026-07-30 21:58:00,야간,M02,PR04,W002,1181
P000156,2026-10-12 12:59:00,주간,M03,PR01,W008,862
P000157,2026-02-01 20:26:00,야간,M04,PR02,W002,921
P000158,2026-11-11 09:03:00,주간,M01,PR02,W006,1320
P000159,2026-09-24 23:50:00,야간,M05,PR01,W008,1270
P000160,2026-12-25 05:08:00,야간,M05,PR01,W004,1005
P000161,2026-03-09 20:22:00,야간,M02,PR03,W010,1275
P000162,2026-10-18 04:11:00,야간,M02,PR02,W004,1073
P000163,2026-09-15 07:23:00,야간,M05,PR03,W007,1126
P000164,2026-10-18 23:15:00,야간,M03,PR01,W001,994
P000165,2026-05-08 09:03:00,주간,M04,PR03,W007,989
P000166,2026-02-22 18:29:00,주간,M02,PR03,W005,1062
P000167,2026-01-08 01:24:00,야간,M03,PR01,W005,922
P000168,2026-01-29 23:57:00,야간,M03,PR02,W007,970
P000169,2026-03-06 06:25:00,야간,M05,PR05,W010,1122
P000170,2026-11-24 10:45:00,주간,M01,PR01,W005,1273
P000171,2026-12-12 10:31:00,주간,M05,PR03,W004,1257
P000172,2026-06-17 22:20:00,야간,M03,PR02,W009,925
P000173,2026-08-07 23:05:00,야간,M03,PR04,W002,935
P000174,2026-12-27 20:34:00,야간,M02,PR05,W008,1150
P000175,2026-07-07 09:49:00,주간,M03,PR01,W010,873
P000176,2026-12-02 15:16:00,주간,M03,PR04,W001,865
P000177,2026-07-02 14:19:00,주간,M02,PR01,W001,1228
P000178,2026-08-08 08:37:00,주간,M01,PR05,W002,1418
P000179,2026-07-13 20:24:00,야간,M05,PR01,W008,1164
P000180,2026-04-27 03:43:00,야간,M05,PR02,W004,1246
P000181,2026-12-22 02:24:00,야간,M01,PR05,W006,1479
P000182,2026-05-05 00:47:00,야간,M05,PR01,W003,1181
P000183,2026-04-22 13:02:00,주간,M03,PR04,W002,975
P000184,2026-07-27 14:17:00,주간,M01,PR01,W009,1496
P000185,2026-04-13 01:22:00,야간,M02,PR02,W004,1239
P000186,2026-11-11 02:06:00,야간,M04,PR05,W003,1004
P000187,2026-04-13 03:16:00,야간,M02,PR04,W009,1120
P000188,2026-07-17 18:33:00,주간,M03,PR02,W006,994
P000189,2026-11-01 19:48:00,주간,M04,PR01,W004,1024
P000190,2026-05-29 19:40:00,주간,M01,PR04,W008,1417
P000191,2026-06-10 23:54:00,야간,M03,PR05,W007,930
P000192,2026-08-06 19:53:00,주간,M03,PR04,W007,850
P000193,2026-05-19 19:45:00,주간,M04,PR04,W007,1100
P000194,2026-04-08 23:05:00,야간,M05,PR02,W009,1247
P000195,2026-01-19 16:07:00,주간,M05,PR03,W007,1125
P000196,2026-03-31 10:07:00,주간,M04,PR02,W010,1053
P000197,2026-10-03 15:30:00,주간,M05,PR05,W004,1229
P000198,2026-12-06 17:50:00,주간,M05,PR04,W002,1243
P000199,2026-11-19 17:50:00,주간,M05,PR04,W006,1098
P000200,2026-07-08 15:06:00,주간,M05,PR03,W004,1284
P000201,2026-10-12 18:42:00,주간,M02,PR04,W001,1197
P000202,2026-10-23 10:07:00,주간,M03,PR05,W010,954
P000203,2026-10-13 22:51:00,야간,M01,PR02,W001,1497
P000204,2026-06-08 07:19:00,야간,M04,PR02,W010,1080
P000205,2026-02-13 09:25:00,주간,M04,PR05,W002,967
P000206,2026-01-30 17:17:00,주간,M02,PR05,W005,1271
P000207,2026-06-16 09:46:00,주간,M02,PR03,W009,1125
P000208,2026-09-12 22:14:00,야간,M03,PR02,W004,859
P000209,2026-03-03 11:46:00,주간,M02,PR02,W007,1200
P000210,2026-11-22 18:44:00,주간,M03,PR01,W005,905
P000211,2026-04-23 00:26:00,야간,M04,PR03,W008,1005
P000212,2026-12-19 19:19:00,주간,M04,PR03,W003,902
P000213,2026-07-28 20:20:00,야간,M03,PR02,W007,867
P000214,2026-07-17 12:09:00,주간,M03,PR01,W001,903
P000215,2026-01-05 20:53:00,야간,M04,PR04,W003,904
P000216,2026-06-17 10:00:00,주간,M05,PR03,W009,1282
P000217,2026-04-12 03:57:00,야간,M04,PR01,W009,941
P000218,2026-10-28 04:13:00,야간,M01,PR04,W006,1304
P000219,2026-08-18 19:32:00,주간,M02,PR01,W004,1173
P000220,2026-04-22 12:35:00,주간,M03,PR02,W002,915
P000221,2026-03-26 18:41:00,주간,M02,PR04,W006,1085
P000222,2026-03-24 12:19:00,주간,M04,PR03,W004,1076
P000223,2026-09-07 23:53:00,야간,M01,PR02,W008,1285
P000224,2026-07-06 14:06:00,주간,M01,PR05,W004,1326
P000225,2026-04-26 22:03:00,야간,M05,PR05,W004,1252
P000226,2026-09-19 23:31:00,야간,M04,PR03,W006,1066
P000227,2026-03-04 20:47:00,야간,M03,PR02,W009,865
P000228,2026-03-28 12:57:00,주간,M02,PR02,W004,1166
P000229,2026-04-05 23:35:00,야간,M02,PR02,W006,1047
P000230,2026-08-05 01:37:00,야간,M02,PR02,W010,1241
P000231,2026-11-04 07:45:00,야간,M04,PR01,W010,1074
P000232,2026-08-15 08:45:00,주간,M02,PR04,W007,1108
P000233,2026-07-12 20:48:00,야간,M02,PR02,W010,1249
P000234,2026-09-01 20:45:00,야간,M03,PR03,W008,940
P000235,2026-10-02 19:24:00,주간,M02,PR01,W010,1086
P000236,2026-12-13 11:29:00,주간,M03,PR03,W001,982
P000237,2026-08-11 09:48:00,주간,M04,PR04,W007,982
P000238,2026-11-01 17:26:00,주간,M05,PR04,W003,1146
P000239,2026-09-15 20:56:00,야간,M03,PR02,W009,996
P000240,2026-05-25 11:56:00,주간,M05,PR01,W009,1147
P000241,2026-01-17 14:14:00,주간,M04,PR02,W003,986
P000242,2026-06-24 01:05:00,야간,M04,PR02,W010,1079
P000243,2026-01-23 22:33:00,야간,M05,PR03,W009,1092
P000244,2026-09-17 13:18:00,주간,M02,PR03,W009,1194
P000245,2026-10-03 02:49:00,야간,M05,PR05,W003,1084
P000246,2026-02-12 14:13:00,주간,M02,PR04,W007,1066
P000247,2026-07-07 23:19:00,야간,M03,PR03,W003,919
P000248,2026-02-04 00:20:00,야간,M03,PR05,W002,921
P000249,2026-09-16 22:35:00,야간,M02,PR01,W002,1241
P000250,2026-07-14 16:36:00,주간,M02,PR01,W010,1226
P000251,2026-05-06 03:58:00,야간,M05,PR04,W002,1035
P000252,2026-01-04 20:10:00,야간,M04,PR02,W009,1037
P000253,2026-01-03 02:04:00,야간,M01,PR05,W004,1238
P000254,2026-09-10 00:21:00,야간,M05,PR03,W008,1108
P000255,2026-06-15 22:00:00,야간,M05,PR02,W006,1290
P000256,2026-01-06 02:23:00,야간,M03,PR03,W003,985
P000257,2026-01-21 12:37:00,주간,M02,PR04,W002,1187
P000258,2026-06-23 06:28:00,야간,M01,PR04,W005,1442
P000259,2026-12-17 17:58:00,주간,M05,PR02,W010,1114
P000260,2026-10-21 15:20:00,주간,M01,PR03,W007,1424
P000261,2026-07-19 21:43:00,야간,M03,PR03,W005,941
P000262,2026-05-05 13:48:00,주간,M05,PR05,W007,1188
P000263,2026-12-13 15:28:00,주간,M04,PR03,W001,917
P000264,2026-12-08 00:34:00,야간,M03,PR05,W010,938
P000265,2026-04-13 06:53:00,야간,M03,PR01,W006,933
P000266,2026-09-27 05:55:00,야간,M02,PR02,W005,1084
P000267,2026-10-02 17:56:00,주간,M01,PR03,W001,1368
P000268,2026-11-19 00:23:00,야간,M01,PR01,W002,1399
P000269,2026-04-18 19:27:00,주간,M05,PR04,W003,1226
P000270,2026-07-10 10:11:00,주간,M03,PR02,W010,941
P000271,2026-03-21 03:31:00,야간,M01,PR05,W009,1351
P000272,2026-05-07 08:08:00,주간,M01,PR02,W010,1371
P000273,2026-04-26 13:41:00,주간,M04,PR05,W007,1000
P000274,2026-01-06 06:46:00,야간,M04,PR02,W003,1071
P000275,2026-08-31 20:57:00,야간,M03,PR02,W005,995
P000276,2026-08-31 07:36:00,야간,M04,PR01,W010,1042
P000277,2026-04-03 00:36:00,야간,M01,PR01,W008,1395
P000278,2026-03-28 08:37:00,주간,M04,PR04,W004,1087
P000279,2026-07-23 05:20:00,야간,M05,PR04,W003,1094
P000280,2026-04-24 08:53:00,주간,M03,PR02,W003,966
P000281,2026-05-05 14:59:00,주간,M01,PR04,W009,1378
P000282,2026-04-14 02:59:00,야간,M01,PR01,W005,1218
P000283,2026-01-06 09:20:00,주간,M05,PR02,W003,1151
P000284,2026-01-02 03:28:00,야간,M03,PR04,W002,908
P000285,2026-04-30 14:28:00,주간,M02,PR05,W009,1133
P000286,2026-06-18 01:51:00,야간,M04,PR03,W001,1034
P000287,2026-02-12 18:48:00,주간,M03,PR04,W003,995
P000288,2026-06-09 13:10:00,주간,M03,PR02,W006,907
P000289,2026-11-10 05:23:00,야간,M04,PR01,W008,937
P000290,2026-03-17 08:07:00,주간,M02,PR02,W006,1275
P000291,2026-03-31 11:30:00,주간,M03,PR05,W005,859
P000292,2026-03-16 03:52:00,야간,M04,PR01,W003,1033
P000293,2026-04-05 22:49:00,야간,M05,PR04,W003,1290
P000294,2026-02-13 22:52:00,야간,M04,PR05,W009,934
P000295,2026-09-02 20:21:00,야간,M02,PR05,W009,1212
P000296,2026-09-22 08:46:00,주간,M04,PR05,W003,913
P000297,2026-07-20 01:00:00,야간,M04,PR02,W005,952
P000298,2026-02-27 05:02:00,야간,M04,PR02,W003,920
P000299,2026-12-15 06:29:00,야간,M02,PR03,W005,1244
P000300,2026-11-29 21:37:00,야간,M01,PR02,W006,1255
P000301,2026-09-16 14:27:00,주간,M01,PR03,W006,1490
P000302,2026-06-25 05:50:00,야간,M03,PR01,W006,884
P000303,2026-09-28 08:47:00,주간,M02,PR03,W007,1142
P000304,2026-03-12 11:32:00,주간,M04,PR05,W001,915
P000305,2026-12-22 21:40:00,야간,M04,PR01,W002,933
P000306,2026-03-05 14:47:00,주간,M05,PR01,W007,1062
P000307,2026-06-15 06:05:00,야간,M03,PR01,W003,908
P000308,2026-02-14 02:06:00,야간,M04,PR02,W007,1029
P000309,2026-12-21 09:15:00,주간,M04,PR02,W002,973
P000310,2026-11-21 00:22:00,야간,M01,PR03,W003,1267
P000311,2026-10-24 21:09:00,야간,M03,PR05,W008,915
P000312,2026-01-01 05:23:00,야간,M05,PR03,W008,1124
P000313,2026-09-14 07:34:00,야간,M05,PR04,W010,1130
P000314,2026-04-01 07:18:00,야간,M04,PR01,W010,1040
P000315,2026-02-19 16:49:00,주간,M01,PR04,W007,1372
P000316,2026-11-15 20:55:00,야간,M03,PR04,W010,975
P000317,2026-04-30 20:41:00,야간,M05,PR01,W008,1221
P000318,2026-06-15 06:27:00,야간,M02,PR01,W005,1220
P000319,2026-02-07 22:57:00,야간,M02,PR02,W007,1109
P000320,2026-05-07 22:17:00,야간,M03,PR05,W009,872
P000321,2026-01-25 08:39:00,주간,M04,PR02,W010,1027
P000322,2026-10-10 20:06:00,야간,M02,PR04,W002,1161
P000323,2026-08-15 04:58:00,야간,M03,PR05,W008,933
P000324,2026-11-28 15:43:00,주간,M03,PR03,W006,883
P000325,2026-07-11 17:53:00,주간,M04,PR02,W009,953
P000326,2026-10-01 22:44:00,야간,M03,PR01,W006,885
P000327,2026-01-25 00:53:00,야간,M01,PR05,W004,1337
P000328,2026-11-04 02:36:00,야간,M02,PR02,W010,1200
P000329,2026-08-15 16:10:00,주간,M03,PR04,W004,995
P000330,2026-11-01 05:58:00,야간,M04,PR02,W003,950
P000331,2026-12-11 22:00:00,야간,M04,PR05,W007,985
P000332,2026-06-21 13:37:00,주간,M03,PR05,W007,882
P000333,2026-09-04 10:41:00,주간,M02,PR02,W009,1045
P000334,2026-06-01 15:04:00,주간,M03,PR01,W008,882
P000335,2026-08-10 22:22:00,야간,M01,PR04,W001,1205
P000336,2026-08-08 02:24:00,야간,M01,PR03,W006,1348
P000337,2026-08-05 03:44:00,야간,M03,PR05,W009,956
P000338,2026-04-04 00:41:00,야간,M05,PR01,W007,1020
P000339,2026-10-02 06:45:00,야간,M04,PR01,W009,1036
P000340,2026-02-12 06:49:00,야간,M03,PR04,W005,870
P000341,2026-04-24 14:35:00,주간,M04,PR05,W003,1028
P000342,2026-12-20 02:21:00,야간,M05,PR05,W007,1072
P000343,2026-08-08 23:59:00,야간,M03,PR02,W009,940
P000344,2026-07-24 22:51:00,야간,M04,PR04,W010,1066
P000345,2026-08-12 15:15:00,주간,M04,PR01,W001,995
P000346,2026-06-13 14:37:00,주간,M02,PR04,W008,1010
P000347,2026-06-30 01:10:00,야간,M02,PR05,W006,1076
P000348,2026-06-20 10:31:00,주간,M03,PR03,W003,887
P000349,2026-09-13 13:29:00,주간,M05,PR04,W010,1160
P000350,2026-10-13 05:36:00,야간,M03,PR05,W003,968
P000351,2026-08-26 23:14:00,야간,M01,PR01,W010,1374
P000352,2026-09-19 09:35:00,주간,M01,PR02,W010,1382
P000353,2026-08-11 07:14:00,야간,M04,PR02,W008,923
P000354,2026-08-24 04:56:00,야간,M03,PR01,W007,989
P000355,2026-10-15 23:26:00,야간,M02,PR05,W001,1273
P000356,2026-11-27 09:33:00,주간,M01,PR01,W004,1475
P000357,2026-09-21 15:35:00,주간,M04,PR02,W006,1045
P000358,2026-07-30 12:46:00,주간,M04,PR01,W004,958
P000359,2026-06-02 10:01:00,주간,M04,PR05,W010,1088
P000360,2026-08-22 16:55:00,주간,M02,PR03,W003,1139
P000361,2026-07-28 06:43:00,야간,M05,PR02,W007,1226
P000362,2026-02-16 04:34:00,야간,M04,PR05,W001,1039
P000363,2026-04-26 01:01:00,야간,M05,PR05,W002,1277
P000364,2026-01-15 13:54:00,주간,M05,PR02,W005,1249
P000365,2026-10-19 10:22:00,주간,M05,PR03,W008,1196
P000366,2026-08-26 19:23:00,주간,M02,PR01,W005,1119
P000367,2026-02-24 13:15:00,주간,M04,PR02,W002,930
P000368,2026-07-16 11:17:00,주간,M04,PR02,W006,920
P000369,2026-04-07 02:13:00,야간,M01,PR03,W006,1446
P000370,2026-08-04 19:32:00,주간,M05,PR03,W009,1010
P000371,2026-12-14 11:57:00,주간,M03,PR05,W002,980
P000372,2026-09-08 00:46:00,야간,M01,PR01,W007,1270
P000373,2026-11-19 22:50:00,야간,M04,PR04,W006,922
P000374,2026-04-23 23:44:00,야간,M03,PR01,W009,987
P000375,2026-11-08 22:30:00,야간,M04,PR02,W005,976
P000376,2026-10-21 19:03:00,주간,M03,PR05,W001,932
P000377,2026-05-26 20:09:00,야간,M04,PR02,W005,1037
P000378,2026-10-02 10:53:00,주간,M04,PR04,W004,1044
P000379,2026-12-22 21:57:00,야간,M05,PR01,W001,1012
P000380,2026-11-15 00:12:00,야간,M01,PR02,W003,1232
P000381,2026-11-13 13:58:00,주간,M01,PR01,W001,1492
P000382,2026-07-06 15:27:00,주간,M01,PR03,W006,1450
P000383,2026-08-07 01:38:00,야간,M04,PR05,W002,965
P000384,2026-10-03 02:29:00,야간,M02,PR05,W006,1121
P000385,2026-09-14 20:14:00,야간,M02,PR04,W003,1145
P000386,2026-03-16 20:37:00,야간,M01,PR03,W008,1381
P000387,2026-02-02 20:09:00,야간,M04,PR05,W007,1079
P000388,2026-04-29 01:24:00,야간,M05,PR02,W004,1154
P000389,2026-05-26 08:39:00,주간,M04,PR02,W006,912
P000390,2026-12-18 20:18:00,야간,M01,PR01,W009,1368
P000391,2026-03-30 13:40:00,주간,M03,PR04,W010,940
P000392,2026-01-31 00:05:00,야간,M04,PR04,W003,1070
P000393,2026-08-27 14:53:00,주간,M04,PR01,W005,1026
P000394,2026-12-21 15:01:00,주간,M05,PR01,W007,1032
P000395,2026-08-20 22:52:00,야간,M05,PR04,W009,1299
P000396,2026-11-12 16:49:00,주간,M01,PR05,W002,1440
P000397,2026-08-30 03:58:00,야간,M02,PR01,W006,1095
P000398,2026-08-27 10:06:00,주간,M05,PR02,W002,1023
P000399,2026-09-21 00:11:00,야간,M01,PR04,W009,1344
P000400,2026-04-17 20:35:00,야간,M04,PR03,W004,1033
P000401,2026-06-05 00:18:00,야간,M02,PR03,W005,1238
P000402,2026-10-19 21:41:00,야간,M03,PR02,W010,964
P000403,2026-02-15 04:29:00,야간,M01,PR02,W009,1407
P000404,2026-09-27 04:46:00,야간,M02,PR05,W007,1143
P000405,2026-03-13 13:16:00,주간,M01,PR02,W008,1396
P000406,2026-02-02 06:27:00,야간,M05,PR03,W010,1072
P000407,2026-02-25 05:01:00,야간,M01,PR05,W003,1480
P000408,2026-02-28 13:50:00,주간,M05,PR05,W006,1214
P000409,2026-08-01 15:03:00,주간,M05,PR05,W002,1149
P000410,2026-12-26 23:35:00,야간,M02,PR04,W001,1056
P000411,2026-07-05 02:17:00,야간,M02,PR02,W002,1099
P000412,2026-06-23 02:11:00,야간,M04,PR04,W001,1002
P000413,2026-09-17 06:45:00,야간,M03,PR04,W008,996
P000414,2026-03-13 09:43:00,주간,M05,PR03,W004,1048
P000415,2026-04-21 17:01:00,주간,M04,PR02,W003,935
P000416,2026-08-05 12:21:00,주간,M01,PR02,W003,1482
P000417,2026-04-01 23:04:00,야간,M05,PR05,W006,1003
P000418,2026-01-16 04:52:00,야간,M01,PR02,W004,1467
P000419,2026-12-30 00:08:00,야간,M01,PR02,W003,1351
P000420,2026-12-24 03:13:00,야간,M04,PR01,W002,1070
P000421,2026-08-03 09:24:00,주간,M05,PR02,W003,1198
P000422,2026-09-18 08:11:00,주간,M04,PR04,W010,1057
P000423,2026-01-08 04:04:00,야간,M02,PR03,W005,1041
P000424,2026-01-29 21:55:00,야간,M01,PR02,W002,1315
P000425,2026-03-02 01:19:00,야간,M05,PR02,W006,1007
P000426,2026-11-26 10:14:00,주간,M05,PR03,W005,1266
