quality_id,production_id,inspection_time,inspector,inspection_result,defect_type,defect_qty,defect_rate,defect_cause
Q000025,P000025,2026-11-14 07:57:00,검사원B,합격,없음,0,0.0,정상
Q000026,P000026,2026-12-06 08:45:00,검사원B,합격,없음,0,0.0,정상
Q000027,P000027,2026-09-13 08:11:00,검사원B,합격,없음,0,0.0,정상
Q000028,P000028,2026-01-19 00:48:00,검사원B,합격,없음,0,0.0,정상
Q000029,P000029,2026-10-09 13:30:00,검사원B,합격,없음,0,0.0,정상
Q000030,P000030,2026-07-08 17:09:00,검사원C,합격,없음,0,0.0,정상
Q000031,P000031,2026-10-21 07:22:00,검사원B,합격,없음,0,0.0,정상
Q000032,P000032,2026-01-03 13:54:00,검사원B,합격,없음,0,0.0,정상
Q000033,P000033,2026-09-25 03:56:00,검사원B,합격,없음,0,0.0,정상
Q000034,P000034,2026-08-01 01:23:00,검사원C,합격,없음,0,0.0,정상
Q000035,P000035,2026-10-16 09:02:00,검사원B,합격,없음,0,0.0,정상
Q000036,P000036,2026-02-08 13:07:00,검사원A,합격,없음,0,0.0,정상
Q000037,P000037,2026-05-29 20:52:00,검사원B,합격,없음,0,0.0,정상
Q000038,P000038,2026-12-19 09:56:00,검사원C,합격,없음,0,0.0,정상
Q000039,P000039,2026-01-17 19:33:00,검사원C,합격,없음,0,0.0,정상
Q000040,P000040,2026-09-06 05:05:00,검사원C,합격,없음,0,0.0,정상
Q000041,P000041,2026-07-11 23:26:00,검사원C,합격,없음,0,0.0,정상
Q000042,P000042,2026-05-06 22:45:00,검사원A,합격,없음,0,0.0,정상
Q000043,P000043,2026-08-23 17:13:00,검사원C,합격,없음,0,0.0,정상
Q000044,P000044,2026-08-19 23:58:00,검사원C,합격,없음,0,0.0,정상
Q000045,P000045,2026-05-03 12:37:00,검사원C,불합격,오염,4,0.36,작업환경
Q000046,P000046,2026-12-06 18:29:00,검사원A,불합격,스크래치,8,0.66,설비 마모
Q000047,P000047,2026-07-06 00:15:00,검사원A,합격,없음,0,0.0,정상
Q000048,P000048,2026-11-23 15:08:00,검사원B,합격,없음,0,0.0,정상
Q000049,P000049,2026-11-11 16:57:00,검사원A,합격,없음,0,0.0,정상
Q000050,P000050,2026-07-20 06:04:00,검사원A,합격,없음,0,0.0,정상
Q000051,P000051,2026-04-14 23:53:00,검사원B,합격,없음,0,0.0,정상
Q000052,P000052,2026-05-02 04:04:00,검사원B,합격,없음,0,0.0,정상
Q000053,P000053,2026-06-14 12:06:00,검사원A,합격,없음,0,0.0,정상
Q000054,P000054,2026-11-05 12:18:00,검사원C,합격,없음,0,0.0,정상
Q000055,P000055,2026-03-12 10:25:00,검사원C,합격,없음,0,0.0,정상
Q000056,P000056,2026-02-26 22:51:00,검사원A,합격,없음,0,0.0,정상
Q000057,P000057,2026-11-16 16:30:00,검사원A,합격,없음,0,0.0,정상
Q000058,P000058,2026-02-18 01:31:00,검사원A,합격,없음,0,0.0,정상
Q000059,P000059,2026-12-18 09:34:00,검사원B,합격,없음,0,0.0,정상
Q000060,P000060,2026-07-19 10:49:00,검사원C,합격,없음,0,0.0,정상
Q000061,P000061,2026-05-04 18:24:00,검사원B,합격,없음,0,0.0,정상
Q000062,P000062,2026-11-11 18:23:00,검사원C,합격,없음,0,0.0,정상
Q000063,P000063,2026-11-25 04:15:00,검사원C,합격,없음,0,0.0,정상
Q000064,P000064,2026-10-07 17:52:00,검사원A,합격,없음,0,0.0,정상
Q000065,P000065,2026-01-21 06:33:00,검사원C,합격,없음,0,0.0,정상
Q000066,P000066,2026-07-10 21:35:00,검사원A,합격,없음,0,0.0,정상
Q000067,P000067,2026-05-09 16:54:00,검사원A,합격,없음,0,0.0,정상
Q000068,P000068,2026-10-20 17:55:00,검사원C,합격,없음,0,0.0,정상
Q000069,P000069,2026-12-25 06:38:00,검사원A,합격,없음,0,0.0,정상
Q000070,P000070,2026-09-11 00:30:00,검사원C,합격,없음,0,0.0,정상
Q000071,P000071,2026-09-18 18:01:00,검사원C,합격,없음,0,0.0,정상
Q000072,P000072,2026-06-12 00:32:00,검사원A,합격,없음,0,0.0,정상
Q000073,P000073,2026-12-28 00:13:00,검사원A,합격,없음,0,0.0,정상
Q000074,P000074,2026-05-26 12:46:00,검사원A,불합격,오염,20,2.03,작업환경
Q000075,P000075,2026-12-29 04:16:00,검사원B,합격,없음,0,0.0,정상
Q000076,P000076,2026-11-16 00:00:00,검사원C,합격,없음,0,0.0,정상
Q000077,P000077,2026-06-30 00:10:00,검사원A,합격,없음,0,0.0,정상
Q000078,P000078,2026-10-01 17:13:00,검사원C,합격,없음,0,0.0,정상
Q000079,P000079,2026-01-24 15:47:00,검사원B,합격,없음,0,0.0,정상
Q000080,P000080,2026-12-11 23:07:00,검사원B,합격,없음,0,0.0,정상
Q000081,P000081,2026-03-16 16:41:00,검사원A,합격,없음,0,0.0,정상
Q000082,P000082,2026-01-31 09:42:00,검사원B,합격,없음,0,0.0,정상
Q000083,P000083,2026-10-18 08:03:00,검사원B,합격,없음,0,0.0,정상
Q000084,P000084,2026-12-23 11:17:00,검사원B,합격,없음,0,0.0,정상
Q000085,P000085,2026-01-10 09:49:00,검사원A,합격,없음,0,0.0,정상
Q000086,P000086,2026-11-16 09:23:00,검사원B,합격,없음,0,0.0,정상
Q000087,P000087,2026-11-30 18:53:00,검사원C,합격,없음,0,0.0,정상
Q000088,P000088,2026-04-30 20:52:00,검사원B,합격,없음,0,0.0,정상
Q000089,P000089,2026-12-17 10:30:00,검사원A,합격,없음,0,0.0,정상
Q000090,P000090,2026-05-26 03:17:00,검사원B,합격,없음,0,0.0,정상
Q000091,P000091,2026-11-03 15:58:00,검사원B,합격,없음,0,0.0,정상
Q000092,P000092,2026-07-13 07:49:00,검사원C,합격,없음,0,0.0,정상
Q000093,P000093,2026-05-04 20:56:00,검사원B,합격,없음,0,0.0,정상
Q000094,P000094,2026-10-01 06:10:00,검사원A,합격,없음,0,0.0,정상
Q000095,P000095,2026-12-14 06:04:00,검사원A,합격,없음,0,0.0,정상
Q000096,P000096,2026-09-04 00:09:00,검사원C,합격,없음,0,0.0,정상
Q000097,P000097,2026-06-03 04:18:00,검사원C,합격,없음,0,0.0,정상
Q000098,P000098,2026-06-23 17:38:00,검사원C,합격,없음,0,0.0,정상
Q000099,P000099,2026-10-06 14:23:00,검사원A,합격,없음,0,0.0,정상
Q000100,P000100,2026-08-08 22:02:00,검사원B,합격,없음,0,0.0,정상
Q000101,P000101,2026-11-03 12:16:00,검사원A,합격,없음,0,0.0,정상
Q000102,P000102,2026-01-17 19:09:00,검사원C,합격,없음,0,0.0,정상
Q000103,P000103,2026-04-03 22:35:00,검사원B,합격,없음,0,0.0,정상
Q000104,P000104,2026-09-24 08:24:00,검사원C,합격,없음,0,0.0,정상
Q000105,P000105,2026-02-03 19:55:00,검사원B,합격,없음,0,0.0,정상
Q000106,P000106,2026-09-16 23:21:00,검사원C,합격,없음,0,0.0,정상
Q000107,P000107,2026-03-17 14:29:00,검사원A,합격,없음,0,0.0,정상
Q000108,P000108,2026-12-24 22:28:00,검사원A,합격,없음,0,0.0,정상
Q000109,P000109,2026-09-28 23:38:00,검사원C,합격,없음,0,0.0,정상
Q000110,P000110,2026-03-02 01:47:00,검사원A,합격,없음,0,0.0,정상
Q000111,P000111,2026-06-20 21:36:00,검사원B,합격,없음,0,0.0,정상
Q000112,P000112,2026-05-21 09:04:00,검사원C,합격,없음,0,0.0,정상
Q000113,P000113,2026-08-25 06:58:00,검사원C,불합격,오염,16,1.61,작업환경
Q000114,P000114,2026-10-28 07:07:00,검사원A,합격,없음,0,0.0,정상
Q000115,P000115,2026-07-16 04:28:00,검사원B,합격,없음,0,0.0,정상
Q000116,P000116,2026-03-18 02:52:00,검사원A,합격,없음,0,0.0,정상
Q000117,P000117,2026-02-04 13:33:00,검사원B,합격,없음,0,0.0,정상
Q000118,P000118,2026-10-19 15:15:00,검사원B,합격,없음,0,0.0,정상
Q000119,P000119,2026-08-20 09:19:00,검사원B,합격,없음,0,0.0,정상
Q000120,P000120,2026-05-31 02:03:00,검사원C,합격,없음,0,0.0,정상
Q000121,P000121,2026-09-23 05:54:00,검사원C,합격,없음,0,0.0,정상
Q000122,P000122,2026-01-05 05:04:00,검사원C,합격,없음,0,0.0,정상
Q000123,P000123,2026-02-14 03:10:00,검사원C,불합격,스크래치,6,0.62,설비 마모
Q000124,P000124,2026-04-29 12:32:00,검사원B,합격,없음,0,0.0,정상
Q000125,P000125,2026-12-22 00:35:00,검사원C,합격,없음,0,0.0,정상
Q000126,P000126,2026-12-14 09:58:00,검사원A,합격,없음,0,0.0,정상
Q000127,P000127,2026-06-18 05:41:00,검사원A,합격,없음,0,0.0,정상
Q000128,P000128,2026-05-15 13:03:00,검사원A,합격,없음,0,0.0,정상
Q000129,P000129,2026-10-04 15:38:00,검사원A,합격,없음,0,0.0,정상
Q000130,P000130,2026-09-28 01:18:00,검사원A,불합격,변형,12,1.12,온도 이상
Q000131,P000131,2026-01-03 02:07:00,검사원A,합격,없음,0,0.0,정상
Q000132,P000132,2026-12-25 12:39:00,검사원C,합격,없음,0,0.0,정상
Q000133,P000133,2026-05-14 06:22:00,검사원C,합격,없음,0,0.0,정상
Q000134,P000134,2026-01-25 02:31:00,검사원A,합격,없음,0,0.0,정상
Q000135,P000135,2026-06-20 00:09:00,검사원A,합격,없음,0,0.0,정상
Q000136,P000136,2026-04-04 15:48:00,검사원A,합격,없음,0,0.0,정상
Q000137,P000137,2026-06-17 08:03:00,검사원A,합격,없음,0,0.0,정상
Q000138,P000138,2026-02-09 21:45:00,검사원C,합격,없음,0,0.0,정상
Q000139,P000139,2026-04-09 20:40:00,검사원A,합격,없음,0,0.0,정상
Q000140,P000140,2026-08-28 08:01:00,검사원C,합격,없음,0,0.0,정상
Q000141,P000141,2026-07-08 16:21:00,검사원A,합격,없음,0,0.0,정상
Q000142,P000142,2026-06-11 21:01:00,검사원A,불합격,스크래치,21,2.44,설비 마모
Q000143,P000143,2026-04-10 23:55:00,검사원A,합격,없음,0,0.0,정상
Q000144,P000144,2026-06-27 23:36:00,검사원C,합격,없음,0,0.0,정상
Q000145,P000145,2026-03-30 06:29:00,검사원C,불합격,스크래치,25,2.74,설비 마모
Q000146,P000146,2026-12-10 19:41:00,검사원C,합격,없음,0,0.0,정상
Q000147,P000147,2026-09-10 23:09:00,검사원C,합격,없음,0,0.0,정상
Q000148,P000148,2026-06-14 12:50:00,검사원A,합격,없음,0,0.0,정상
Q000149,P000149,2026-01-18 15:50:00,검사원C,합격,없음,0,0.0,정상
Q000150,P000150,2026-02-20 14:21:00,검사원B,합격,없음,0,0.0,정상
Q000151,P000151,2026-05-19 21:41:00,검사원A,합격,없음,0,0.0,정상
Q000152,P000152,2026-04-20 01:48:00,검사원C,합격,없음,0,0.0,정상
Q000153,P000153,2026-08-30 20:05:00,검사원C,합격,없음,0,0.0,정상
Q000154,P000154,2026-06-14 22:09:00,검사원C,합격,없음,0,0.0,정상
Q000155,P000155,2026-07-30 22:50:00,검사원B,합격,없음,0,0.0,정상
Q000156,P000156,2026-10-12 13:25:00,검사원B,합격,없음,0,0.0,정상
Q000157,P000157,2026-02-01 21:15:00,검사원C,합격,없음,0,0.0,정상
Q000158,P000158,2026-11-11 09:31:00,검사원B,합격,없음,0,0.0,정상
Q000159,P000159,2026-09-25 00:29:00,검사원C,합격,없음,0,0.0,정상
Q000160,P000160,2026-12-25 05:38:00,검사원C,합격,없음,0,0.0,정상
Q000161,P000161,2026-03-09 20:47:00,검사원B,합격,없음,0,0.0,정상
Q000162,P000162,2026-10-18 04:59:00,검사원A,합격,없음,0,0.0,정상
Q000163,P000163,2026-09-15 08:18:00,검사원B,합격,없음,0,0.0,정상
Q000164,P000164,2026-10-18 23:51:00,검사원A,합격,없음,0,0.0,정상
Q000165,P000165,2026-05-08 09:23:00,검사원B,합격,없음,0,0.0,정상
Q000166,P000166,2026-02-22 19:02:00,검사원B,합격,없음,0,0.0,정상
Q000167,P000167,2026-01-08 02:19:00,검사원C,합격,없음,0,0.0,정상
Q000168,P000168,2026-01-30 00:24:00,검사원B,불합격,치수불량,30,3.09,설비 진동
Q000169,P000169,2026-03-06 07:18:00,검사원C,합격,없음,0,0.0,정상
Q000170,P000170,2026-11-24 11:34:00,검사원A,합격,없음,0,0.0,정상
Q000171,P000171,2026-12-12 11:28:00,검사원C,합격,없음,0,0.0,정상
Q000172,P000172,2026-06-17 22:45:00,검사원C,합격,없음,0,0.0,정상
Q000173,P000173,2026-08-07 23:41:00,검사원A,합격,없음,0,0.0,정상
Q000174,P000174,2026-12-27 21:23:00,검사원C,합격,없음,0,0.0,정상
Q000175,P000175,2026-07-07 10:43:00,검사원A,합격,없음,0,0.0,정상
Q000176,P000176,2026-12-02 16:16:00,검사원C,합격,없음,0,0.0,정상
Q000177,P000177,2026-07-02 14:46:00,검사원A,합격,없음,0,0.0,정상
Q000178,P000178,2026-08-08 09:22:00,검사원B,합격,없음,0,0.0,정상
Q000179,P000179,2026-07-13 21:15:00,검사원C,합격,없음,0,0.0,정상
Q000180,P000180,2026-04-27 04:26:00,검사원A,합격,없음,0,0.0,정상
Q000181,P000181,2026-12-22 02:45:00,검사원C,합격,없음,0,0.0,정상
Q000182,P000182,2026-05-05 01:12:00,검사원A,합격,없음,0,0.0,정상
Q000183,P000183,2026-04-22 13:43:00,검사원C,합격,없음,0,0.0,정상
Q000184,P000184,2026-07-27 14:47:00,검사원C,합격,없음,0,0.0,정상
Q000185,P000185,2026-04-13 01:42:00,검사원C,합격,없음,0,0.0,정상
Q000186,P000186,2026-11-11 02:53:00,검사원C,합격,없음,0,0.0,정상
Q000187,P000187,2026-04-13 04:04:00,검사원C,합격,없음,0,0.0,정상
Q000188,P000188,2026-07-17 19:14:00,검사원C,합격,없음,0,0.0,정상
Q000189,P000189,2026-11-01 20:27:00,검사원C,불합격,변형,14,1.37,온도 이상
Q000190,P000190,2026-05-29 20:36:00,검사원C,합격,없음,0,0.0,정상
Q000191,P000191,2026-06-11 00:29:00,검사원B,합격,없음,0,0.0,정상
Q000192,P000192,2026-08-06 20:33:00,검사원C,합격,없음,0,0.0,정상
Q000193,P000193,2026-05-19 20:23:00,검사원B,합격,없음,0,0.0,정상
Q000194,P000194,2026-04-08 23:25:00,검사원B,합격,없음,0,0.0,정상
Q000195,P000195,2026-01-19 16:40:00,검사원A,합격,없음,0,0.0,정상
Q000196,P000196,2026-03-31 11:02:00,검사원C,합격,없음,0,0.0,정상
Q000197,P000197,2026-10-03 16:18:00,검사원C,합격,없음,0,0.0,정상
Q000198,P000198,2026-12-06 18:47:00,검사원C,합격,없음,0,0.0,정상
Q000199,P000199,2026-11-19 18:37:00,검사원C,합격,없음,0,0.0,정상
Q000200,P000200,2026-07-08 15:52:00,검사원B,합격,없음,0,0.0,정상
Q000201,P000201,2026-10-12 19:15:00,검사원A,합격,없음,0,0.0,정상
Q000202,P000202,2026-10-23 10:36:00,검사원C,합격,없음,0,0.0,정상
Q000203,P000203,2026-10-13 23:28:00,검사원B,합격,없음,0,0.0,정상
Q000204,P000204,2026-06-08 07:42:00,검사원B,합격,없음,0,0.0,정상
Q000205,P000205,2026-02-13 10:21:00,검사원C,합격,없음,0,0.0,정상
Q000206,P000206,2026-01-30 17:56:00,검사원A,합격,없음,0,0.0,정상
Q000207,P000207,2026-06-16 10:27:00,검사원B,합격,없음,0,0.0,정상
Q000208,P000208,2026-09-12 22:49:00,검사원C,불합격,스크래치,27,3.14,설비 마모
Q000209,P000209,2026-03-03 12:06:00,검사원C,합격,없음,0,0.0,정상
Q000210,P000210,2026-11-22 19:25:00,검사원C,합격,없음,0,0.0,정상
Q000211,P000211,2026-04-23 00:55:00,검사원A,합격,없음,0,0.0,정상
Q000212,P000212,2026-12-19 19:41:00,검사원A,합격,없음,0,0.0,정상
Q000213,P000213,2026-07-28 20:54:00,검사원A,합격,없음,0,0.0,정상
Q000214,P000214,2026-07-17 13:04:00,검사원C,합격,없음,0,0.0,정상
Q000215,P000215,2026-01-05 21:28:00,검사원B,합격,없음,0,0.0,정상
Q000216,P000216,2026-06-17 10:41:00,검사원B,합격,없음,0,0.0,정상
Q000217,P000217,2026-04-12 04:50:00,검사원B,불합격,스크래치,15,1.59,설비 마모
Q000218,P000218,2026-10-28 04:46:00,검사원C,합격,없음,0,0.0,정상
Q000219,P000219,2026-08-18 20:06:00,검사원A,합격,없음,0,0.0,정상
Q000220,P000220,2026-04-22 13:08:00,검사원B,합격,없음,0,0.0,정상
Q000221,P000221,2026-03-26 19:01:00,검사원A,합격,없음,0,0.0,정상
Q000222,P000222,2026-03-24 12:52:00,검사원B,합격,없음,0,0.0,정상
Q000223,P000223,2026-09-08 00:48:00,검사원C,합격,없음,0,0.0,정상
Q000224,P000224,2026-07-06 14:51:00,검사원C,합격,없음,0,0.0,정상
Q000225,P000225,2026-04-26 22:32:00,검사원B,합격,없음,0,0.0,정상
Q000226,P000226,2026-09-20 00:13:00,검사원B,합격,없음,0,0.0,정상
Q000227,P000227,2026-03-04 21:22:00,검사원C,불합격,스크래치,29,3.35,설비 마모
Q000228,P000228,2026-03-28 13:36:00,검사원B,불합격,스크래치,5,0.43,설비 마모
Q000229,P000229,2026-04-06 00:14:00,검사원B,합격,없음,0,0.0,정상
Q000230,P000230,2026-08-05 02:36:00,검사원B,합격,없음,0,0.0,정상
Q000231,P000231,2026-11-04 08:38:00,검사원B,합격,없음,0,0.0,정상
Q000232,P000232,2026-08-15 09:25:00,검사원C,합격,없음,0,0.0,정상
Q000233,P000233,2026-07-12 21:12:00,검사원C,합격,없음,0,0.0,정상
Q000234,P000234,2026-09-01 21:22:00,검사원C,합격,없음,0,0.0,정상
Q000235,P000235,2026-10-02 19:53:00,검사원B,합격,없음,0,0.0,정상
Q000236,P000236,2026-12-13 12:10:00,검사원A,합격,없음,0,0.0,정상
Q000237,P000237,2026-08-11 10:28:00,검사원B,합격,없음,0,0.0,정상
Q000238,P000238,2026-11-01 18:01:00,검사원A,합격,없음,0,0.0,정상
Q000239,P000239,2026-09-15 21:21:00,검사원A,합격,없음,0,0.0,정상
Q000240,P000240,2026-05-25 12:33:00,검사원B,합격,없음,0,0.0,정상
Q000241,P000241,2026-01-17 15:13:00,검사원C,합격,없음,0,0.0,정상
Q000242,P000242,2026-06-24 01:28:00,검사원B,합격,없음,0,0.0,정상
Q000243,P000243,2026-01-23 22:56:00,검사원C,합격,없음,0,0.0,정상
Q000244,P000244,2026-09-17 14:16:00,검사원B,합격,없음,0,0.0,정상
Q000245,P000245,2026-10-03 03:40:00,검사원A,합격,없음,0,0.0,정상
Q000246,P000246,2026-02-12 14:35:00,검사원C,합격,없음,0,0.0,정상
Q000247,P000247,2026-07-07 23:44:00,검사원C,불합격,균열,28,3.05,금형 이상
Q000248,P000248,2026-02-04 01:02:00,검사원A,합격,없음,0,0.0,정상
Q000249,P000249,2026-09-16 23:16:00,검사원C,합격,없음,0,0.0,정상
Q000250,P000250,2026-07-14 17:29:00,검사원C,합격,없음,0,0.0,정상
Q000251,P000251,2026-05-06 04:47:00,검사원A,합격,없음,0,0.0,정상
Q000252,P000252,2026-01-04 20:50:00,검사원B,합격,없음,0,0.0,정상
Q000253,P000253,2026-01-03 02:28:00,검사원C,합격,없음,0,0.0,정상
Q000254,P000254,2026-09-10 01:00:00,검사원B,합격,없음,0,0.0,정상
Q000255,P000255,2026-06-15 22:22:00,검사원C,합격,없음,0,0.0,정상
Q000256,P000256,2026-01-06 02:52:00,검사원B,불합격,변형,21,2.13,온도 이상
Q000257,P000257,2026-01-21 13:02:00,검사원B,합격,없음,0,0.0,정상
Q000258,P000258,2026-06-23 07:04:00,검사원A,합격,없음,0,0.0,정상
Q000259,P000259,2026-12-17 18:20:00,검사원B,합격,없음,0,0.0,정상
Q000260,P000260,2026-10-21 16:02:00,검사원C,합격,없음,0,0.0,정상
Q000261,P000261,2026-07-19 22:16:00,검사원A,합격,없음,0,0.0,정상
Q000262,P000262,2026-05-05 14:10:00,검사원C,합격,없음,0,0.0,정상
Q000263,P000263,2026-12-13 16:12:00,검사원B,합격,없음,0,0.0,정상
Q000264,P000264,2026-12-08 01:12:00,검사원C,합격,없음,0,0.0,정상
Q000265,P000265,2026-04-13 07:33:00,검사원A,합격,없음,0,0.0,정상
Q000266,P000266,2026-09-27 06:43:00,검사원B,합격,없음,0,0.0,정상
Q000267,P000267,2026-10-02 18:34:00,검사원A,합격,없음,0,0.0,정상
Q000268,P000268,2026-11-19 00:59:00,검사원C,합격,없음,0,0.0,정상
Q000269,P000269,2026-04-18 20:12:00,검사원A,합격,없음,0,0.0,정상
Q000270,P000270,2026-07-10 10:39:00,검사원B,불합격,스크래치,23,2.44,설비 마모
Q000271,P000271,2026-03-21 04:08:00,검사원A,불합격,균열,6,0.44,금형 이상
Q000272,P000272,2026-05-07 08:43:00,검사원B,합격,없음,0,0.0,정상
Q000273,P000273,2026-04-26 14:12:00,검사원A,합격,없음,0,0.0,정상
Q000274,P000274,2026-01-06 07:22:00,검사원A,합격,없음,0,0.0,정상
Q000275,P000275,2026-08-31 21:33:00,검사원C,불합격,스크래치,20,2.01,설비 마모
Q000276,P000276,2026-08-31 08:00:00,검사원C,합격,없음,0,0.0,정상
Q000277,P000277,2026-04-03 01:22:00,검사원B,합격,없음,0,0.0,정상
Q000278,P000278,2026-03-28 09:19:00,검사원A,합격,없음,0,0.0,정상
Q000279,P000279,2026-07-23 06:11:00,검사원B,합격,없음,0,0.0,정상
Q000280,P000280,2026-04-24 09:21:00,검사원B,합격,없음,0,0.0,정상
Q000281,P000281,2026-05-05 15:30:00,검사원C,합격,없음,0,0.0,정상
Q000282,P000282,2026-04-14 03:47:00,검사원B,합격,없음,0,0.0,정상
Q000283,P000283,2026-01-06 10:01:00,검사원B,합격,없음,0,0.0,정상
Q000284,P000284,2026-01-02 04:09:00,검사원B,합격,없음,0,0.0,정상
Q000285,P000285,2026-04-30 15:18:00,검사원B,합격,없음,0,0.0,정상
Q000286,P000286,2026-06-18 02:17:00,검사원C,합격,없음,0,0.0,정상
Q000287,P000287,2026-02-12 19:25:00,검사원A,합격,없음,0,0.0,정상
Q000288,P000288,2026-06-09 13:46:00,검사원C,합격,없음,0,0.0,정상
Q000289,P000289,2026-11-10 06:17:00,검사원A,합격,없음,0,0.0,정상
Q000290,P000290,2026-03-17 08:57:00,검사원B,합격,없음,0,0.0,정상
Q000291,P000291,2026-03-31 12:25:00,검사원A,합격,없음,0,0.0,정상
Q000292,P000292,2026-03-16 04:12:00,검사원A,불합격,변형,6,0.58,온도 이상
Q000293,P000293,2026-04-05 23:28:00,검사원B,합격,없음,0,0.0,정상
Q000294,P000294,2026-02-13 23:48:00,검사원C,합격,없음,0,0.0,정상
Q000295,P000295,2026-09-02 21:18:00,검사원C,합격,없음,0,0.0,정상
Q000296,P000296,2026-09-22 09:29:00,검사원B,합격,없음,0,0.0,정상
Q000297,P000297,2026-07-20 01:34:00,검사원C,합격,없음,0,0.0,정상
Q000298,P000298,2026-02-27 05:41:00,검사원C,합격,없음,0,0.0,정상
Q000299,P000299,2026-12-15 06:49:00,검사원A,합격,없음,0,0.0,정상
Q000300,P000300,2026-11-29 22:33:00,검사원A,합격,없음,0,0.0,정상
Q000301,P000301,2026-09-16 14:59:00,검사원C,합격,없음,0,0.0,정상
Q000302,P000302,2026-06-25 06:46:00,검사원C,합격,없음,0,0.0,정상
Q000303,P000303,2026-09-28 09:37:00,검사원B,합격,없음,0,0.0,정상
Q000304,P000304,2026-03-12 12:21:00,검사원A,합격,없음,0,0.0,정상
Q000305,P000305,2026-12-22 22:01:00,검사원B,합격,없음,0,0.0,정상
Q000306,P000306,2026-03-05 15:21:00,검사원B,합격,없음,0,0.0,정상
Q000307,P000307,2026-06-15 07:02:00,검사원C,불합격,스크래치,26,2.86,설비 마모
Q000308,P000308,2026-02-14 02:38:00,검사원A,합격,없음,0,0.0,정상
Q000309,P000309,2026-12-21 10:05:00,검사원A,합격,없음,0,0.0,정상
Q000310,P000310,2026-11-21 00:51:00,검사원C,합격,없음,0,0.0,정상
Q000311,P000311,2026-10-24 22:06:00,검사원C,불합격,치수불량,15,1.64,설비 진동
Q000312,P000312,2026-01-01 06:03:00,검사원A,합격,없음,0,0.0,정상
Q000313,P000313,2026-09-14 08:24:00,검사원A,합격,없음,0,0.0,정상
Q000314,P000314,2026-04-01 07:41:00,검사원A,합격,없음,0,0.0,정상
Q000315,P000315,2026-02-19 17:10:00,검사원A,합격,없음,0,0.0,정상
Q000316,P000316,2026-11-15 21:33:00,검사원B,불합격,치수불량,29,2.97,설비 진동
Q000317,P000317,2026-04-30 21:40:00,검사원A,합격,없음,0,0.0,정상
Q000318,P000318,2026-06-15 06:58:00,검사원B,합격,없음,0,0.0,정상
Q000319,P000319,2026-02-07 23:35:00,검사원B,합격,없음,0,0.0,정상
Q000320,P000320,2026-05-07 23:11:00,검사원B,합격,없음,0,0.0,정상
Q000321,P000321,2026-01-25 09:26:00,검사원B,합격,없음,0,0.0,정상
Q000322,P000322,2026-10-10 20:51:00,검사원A,합격,없음,0,0.0,정상
Q000323,P000323,2026-08-15 05:32:00,검사원A,합격,없음,0,0.0,정상
Q000324,P000324,2026-11-28 16:09:00,검사원B,합격,없음,0,0.0,정상
Q000325,P000325,2026-07-11 18:29:00,검사원B,합격,없음,0,0.0,정상
Q000326,P000326,2026-10-01 23:43:00,검사원B,합격,없음,0,0.0,정상
Q000327,P000327,2026-01-25 01:36:00,검사원C,합격,없음,0,0.0,정상
